source_file,row_num,company_name,address_1,address_2,address_3,city,state,zip,website,primary_phone_number
list_a,1,7-Eleven,218 Peachtree Street Northwest,,,Atlanta,GA,30303,7-eleven.com,404-555-0100
list_a,2,711,218 Peachtree St NW,,,Atlanta,GA,30303,,4045550100
list_a,3,"7-Eleven, Inc.",218 Peachtree St,Suite 100,,Atlanta,GA,30303,www.7-eleven.com,
list_a,4,7-Eleven,1234 Peachtree St SE,,,Atlanta,GA,30303,,404-555-0199
list_a,5,The Home Depot,2455 Paces Ferry Rd Southeast,,,Atlanta,GA,30339,homedepot.com,(770) 433-8211
list_a,6,Piedmont Coffee Co,500 10th St NW,,,Atlanta,GA,30318,piedmontcoffee.com,404-555-0142
list_a,7,Blue Heron Analytics,890 Ponce de Leon Ave NE,,,Atlanta,GA,30306,blueheron.io,404-555-0177
list_b,1,7-11,218 Peachtree NW,,,Atlanta,GA,,,404-555-0100
list_b,2,Home Depot #123,2455 Paces Ferry Rd SE,,,Atlanta,GA,30339,,770.433.8211
list_b,3,Piedmont Coffee,500 10th St NW,,,Atlanta,GA,30318,www.piedmontcoffee.com,
list_b,4,Delta Airlines,1030 Delta Blvd,,,Atlanta,GA,30354,delta.com,404-715-2600
list_b,5,Sunrise Bakery,77 Marietta St NW,,,Atlanta,GA,30303,sunrisebakeryatl.com,404-555-0161
list_b,6,Sunrise Bakery LLC,77 Marietta Street NW,,,Atlanta,GA,30303,,404-555-0161
list_b,7,Rockdale Paper Supply,1100 Sigman Road,,,Conyers,GA,30012,rockdalepaper.com,770-555-0128
list_c,1,Blue Heron Analytics LLC,890 Ponce de Leon Avenue NE,,,Atlanta,GA,30306,www.blueheron.io,404-555-0177
list_c,2,Chick-fil-A Inc,5200 Buffington Rd,,,Atlanta,GA,30349,chick-fil-a.com,404-765-8000
list_c,3,The Coca-Cola Company,1 Coca-Cola Plaza Northwest,,,Atlanta,GA,30313,coca-cola.com,(404) 676-2121
list_c,4,Peachtree Dental Group,3350 Riverwood Pkwy,Suite 1900,,Atlanta,GA,30339,peachtreedental.com,770-555-0163
list_c,5,Sunrise Bakery,2200 Cheshire Bridge Rd NE,,,Atlanta,GA,30324,,404-555-0186
list_c,6,Midtown Print Works,847 Spring Street NW,,,Atlanta,GA,30308,midtownprintworks.com,404-555-0134
